PLN_AREA_N,% of Working Persons' Travel Time to Work Up to 45 Min - 2015,% of Working Persons' Travel Time to Work Over 45 Min - 2015,% of Working Persons Usual Mode of Transport to Work by Car - 2015,% of Working Persons Usual Mode of Transport to Work by Public Transport - 2015,% of Working Persons Without Need for Transport to Work - 2015,% Males - 2015,% Females - 2015,Population Density (/km2),% of Households in Condominium Apartments - 2015,% of Households in HDB Dwellings - 2015,% of Households in 1&2 Room Flats - 2015,% of Households in 3 Room Flats - 2015,% of Households in 4Room Flats - 2015,% of Households in 5 Room Flats - 2015,% of Households in Landed Properties - 2015,% of Working Persons with Gross Monthly Income from Work Below S$1000,% of Working Persons with Gross Monthly Income from Work S$1000-$4999,"% of Working Persons with Gross Monthly Income from Work S$5000-$9,999","% of Working Persons with Gross Monthly Income from Work Over S$10,000",% of Resident Population Over 15 Years Old with HQA Secondary - 2015,HQA No Qualification - 2015,HQA Polytechnic - 2015,HQA Post-Secondary - 2015,HQA Primary - 2015,HQA University - 2015,% of Resident Population Economically Active (Working) - 2015,% of Resident Population Economically Active (Unemployed) - 2015,% of Resident Population Economically Inactive - 2015,% of Resident Households Owner Tenancy - 2015,% of Resident Households as Tenants - 2015,% of Resident Population of Chinese Ethnicity - 2015,% of Resident Population of Malay Ethnicity - 2015,% of Resident Population of Indian Ethnicity - 2015,% of Resident Population of Eurasian/Other Ethnicity - 2015,% of Working Persons Occupation as Professionals - 2015,% of Working Persons Occupation as Legislators/Senior Officials - 2015
ANG MO KIO,73.67346939,26.32653061,20.5153617,59.06838454,10.20812686,48.18904846,51.81095154,"12,000",4.3478261,45.5652174,4.8695652,22.173913,12.8695652,5.6521739,4.2608696,9.5849802,54.8418973,22.9249012,12.74703557,26.10192837,16.4600551,7.644628099,9.366391185,18.58620704,24.38016529,64.35612083,2.925278219,32.68680445,87.38019169,12.30031949,81.98775534,7.472678377,8.09635521,2.443211077,17.29249012,14.92094862
BEDOK,75.85499316,24.14500684,24.5836109,56.76215856,8.394403731,48.73856773,51.26143227,"13,000",12.6391618,39.5546824,2.6195154,14.2763589,13.7524558,8.9063523,8.0550098,8.1170991,50.299401,23.8855623,17.69793746,26.87058824,12.56470588,7.529411765,9.741176471,33.72334174,29.6,63.69993643,2.542911634,33.77834287,89.9132321,9.436008677,72.08973253,15.17860224,8.666091458,4.06557377,18.69594145,19.76047904
BISHAN,79.20168067,20.79831933,28.9473684,57.69230769,7.287449393,48.63285557,51.36714443,"12,000",10.3157895,41.4736842,1.0526316,4.2105263,20.6315789,15.3684211,6.7368421,7.8787879,41.4141414,28.6868688,22.22222222,24.37591777,9.104258443,8.076358297,9.251101322,23.48406216,37.29809104,64.91803279,2.426229508,32.6557377,91.00719424,8.273381295,85.13781698,4.14553473,7.717750827,2.998897464,24.24242424,23.63636364
BUKIT BATOK,69.24119241,30.75880759,23.3112583,57.8807947,8.079470199,49.29274072,50.70007898,"13,000",11.4690722,43.1701031,0.9020619,12.628866,19.3298969,10.3092784,1.9329897,8.0687831,51.0582012,25.9259259,15.07936508,26.33079848,11.21673004,10.64638783,9.410646388,7.455817422,28.23193916,63.01541025,3.415243648,33.65264473,93.86363636,5.681818182,73.29121195,14.05083285,9.857840322,2.800114877,18.91534392,17.1957672
BUKIT MERAH,81.98757764,18.01242236,18.0487805,64.3902439,10.36585366,48.41504107,51.58495893,"11,000",3.3802817,48.1690141,11.2676056,14.9295775,13.42723,8.5446009,0.0938967,10.3406326,51.5815086,23.7226278,14.23357664,27.39837398,18.29268293,6.341463415,7.967479675,0.395810704,25.28455285,62.0754717,2.490566038,35.43396226,80.25362319,19.38405797,78.67684805,8.598562628,9.702258727,3.022330595,18.36982968,14.47688564
BUKIT PANJANG,61.8204804,38.1795196,26.7166042,52.05992509,6.117353308,49.74465943,50.25534057,"16,000",7.4172185,45.4304636,1.192053,4.6357616,20.6622517,18.9403974,1.7218543,6.3670412,54.057428,28.0898876,11.360799,25.46816479,11.51685393,10.95505618,11.51685393,6.129801317,24.81273408,66.97324415,3.051839465,30.01672241,95.38834951,4.611650485,74.29146885,15.99050496,7.409005898,2.309020285,16.97877653,14.98127341
BUKIT TIMAH,80.57971014,19.42028986,53.8043478,33.42391304,7.336956522,46.54223177,53.45776823,"4,400",45.4198473,8.778626,0,1.9083969,3.4351145,3.4351145,35.8778626,5.7065217,23.3695652,25.0000001,46.19565217,13.11787072,3.422053232,4.562737643,8.745247148,143.5114498,61.02661597,62.26734349,1.945854484,35.70219966,87.44769874,10.87866109,86.14207063,1.020545186,4.901302538,7.936081644,35.59782609,38.58695652
CHOA CHU KANG,58.14931651,41.85068349,19.9794027,61.27703399,6.797116375,49.89961567,50.10038433,"31,000",5.387931,46.7672414,1.7241379,1.7241379,22.6293103,20.6896552,0.9698276,7.5102881,54.7325104,27.6748971,10.28806584,28.33976834,9.498069498,10.81081081,12.2007722,3.504358468,24.32432432,65.10381782,2.545210985,32.28399196,96.34888438,3.042596349,70.80991167,16.99552598,9.447057474,2.747504876,16.97530864,12.55144033
CLEMENTI ,79.59641256,20.40358744,23.5294118,59.69498911,7.843137255,47.87733275,52.12266725,"9,800",9.5684803,43.5272045,2.2514071,19.6998124,15.9474672,5.6285178,3.0018762,8.2788671,44.0087146,29.1938998,19.17211329,24.59259259,14.96296296,8,8.296296296,10.28254608,30.66666667,63.20495186,1.856946355,34.869326,89.36877076,9.634551495,77.14971628,10.85770406,8.293321694,3.699257966,24.18300654,19.60784314
GEYLANG,81.18644068,18.81355932,17.4836601,61.60130719,12.58169935,49.66655267,50.33344733,"12,129",9.4311377,44.011976,6.7365269,15.7185629,14.6706587,6.8862275,1.9461078,10.5863192,53.0944625,23.9413681,12.05211726,25.8254717,16.15566038,8.254716981,9.787735849,8.128640735,25.11792453,66.45021645,2.489177489,31.06060606,84.8,14.13333333,75.28426092,13.06317859,8.463708643,3.188851842,18.0781759,14.49511401
